[2026-03-25 09:40:26] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-24
正在获取论文...
[arXiv] 2026-03-24 | First Detection of the Glycine Isomer Glycolamide in Hot Molecular Core
[arXiv] 2026-03-24 | Pre-Patterned Superconducting Contacts for Clean Superconductor-Topological Material Interfaces Enabling Long-Range Josephson Coupling
[arXiv] 2026-03-24 | The relief distribution problem with trucks and drones under incomplete demand information
[arXiv] 2026-03-24 | Agentic Verifier-in-the-Loop Solver Orchestration for Cell-Free Massive MIMO Downlink Power Control
[arXiv] 2026-03-24 | From Questions to Trust Reports: A LLM-IR Framework for the TREC 2025 DRAGUN Track
[arXiv] 2026-03-24 | Compressing Dynamic Fully Indexable Dictionaries in Word-RAM
[arXiv] 2026-03-24 | SMSP: A Plug-and-Play Strategy of Multi-Scale Perception for MLLMs to Perceive Visual Illusions
[arXiv] 2026-03-24 | Automatic Segmentation of 3D CT scans with SAM2 using a zero-shot approach
[arXiv] 2026-03-24 | Active Robotic Perception for Disease Detection and Mapping in Apple Trees
[arXiv] 2026-03-24 | Network Analysis of the Egyptian Reddit Community
[arXiv] 2026-03-24 | A numerical study on the coefficient of restitution of wet collisions
[arXiv] 2026-03-24 | Policy-based Tuning of Autoregressive Image Models with Instance- and Distribution-Level Rewards
[arXiv] 2026-03-24 | AirSimAG: A High-Fidelity Simulation Platform for Air-Ground Collaborative Robotics
[arXiv] 2026-03-24 | A High-frequency Geodetic VLBI Experiment for Optical Clock Comparison
[arXiv] 2026-03-24 | Good for the Planet, Bad for Me? Intended and Unintended Consequences of AI Energy Consumption Disclosure
[arXiv] 2026-03-24 | Can an LLM Detect Instances of Microservice Infrastructure Patterns?
[arXiv] 2026-03-24 | MLLM-HWSI: A Multimodal Large Language Model for Hierarchical Whole Slide Image Understanding
[arXiv] 2026-03-24 | Minibal: Balanced Game-Playing Without Opponent Modeling
[arXiv] 2026-03-24 | Prompt Amplification and Zero-Shot Late Fusion in Audio-Language Models for Speech Emotion Recognition
[arXiv] 2026-03-24 | Eigenvalue stability of Hermitian and normal matrices
[arXiv] 2026-03-24 | DBAutoDoc: Automated Discovery and Documentation of Undocumented Database Schemas via Statistical Analysis and Iterative LLM Refinement
[arXiv] 2026-03-24 | PCR: A Prefetch-Enhanced Cache Reuse System for Low-Latency RAG Serving
[arXiv] 2026-03-24 | Hyper-Kähler varieties: Lagrangian fibrations, atomic sheaves, and categories
